countryName,countryCode,emissionPerCap,totalEmission,continent
케이비국민카드,A,41.7,41.7,금융 및 보험업
케이비증권,A,27.8,27.8,금융 및 보험업
케이비캐피탈,A,60,66.9,금융 및 보험업
케이사인,A,21.6,21.6,정보통신업
케이씨,A,24,24,제조업
케이씨그린홀딩스,A,13.7,13.7,금융 및 보험업
케이씨산업,A,24.8,24.8,제조업
케이씨씨,A,35.2,35.2,제조업
케이씨씨건설,A,50.9,50.9,건설업
케이씨아이,A,17.5,17.5,제조업
케이씨에스,A,31.4,31.4,정보통신업
케이씨코트렐,A,48.7,48.7,제조업
케이씨티,A,15,15,정보통신업
케이씨티시,A,22,22,운수 및 창고업
케이씨피드,A,50,50,제조업
케이아이엔엑스,A,11.8,11.8,정보통신업
케이아이티,A,18.3,18.3,정보통신업
대구시민프로축구단,A,-4.3,-4.3,"예술, 스포츠 및 여가관련 서비스업"
케이알파트너스,A,27.7,27.7,금융 및 보험업
케이에스에스해운,A,31.6,31.6,운수 및 창고업
케이에스피,A,18.6,18.6,제조업
케이에이치바텍,A,33.3,33.3,제조업
케이엔더블유,A,16.6,16.6,제조업
케이엔엔,A,16.3,16.3,정보통신업
케이엘넷,A,34.7,34.7,정보통신업
케이엠,A,19.2,19.2,제조업
케이엠더블유,A,34,34,제조업
케이엠에이치,A,27.1,27.1,정보통신업
케이엠에이치신라레저,A,37.8,37.8,"예술, 스포츠 및 여가관련 서비스업"
케이엠에이치하이텍,A,28.8,28.8,제조업
케이이씨,A,36.7,36.7,제조업
케이제이프리텍,A,42.1,42.1,제조업
케이지모빌리언스,A,58.2,58.2,정보통신업
케이지이니시스,A,46.3,46.3,정보통신업
케이지이티에스,A,44.8,44.8,"수도, 하수 및 폐기물 처리, 원료 재생업"
케이티,A,13.4,13.4,정보통신업
케이티비투자증권,A,60,65.2,금융 및 보험업
케이티서브마린,A,45.4,45.4,건설업
케이티스,A,15.5,15.5,정보통신업
케이티스카이라이프,A,24.3,24.3,정보통신업
케이티씨에스,A,22.2,22.2,정보통신업
케이티앤지,A,25.6,25.6,제조업
케이티텔레캅,A,38.9,38.9,"사업시설 관리, 사업 지원 및 임대 서비스업"
케이티파워텔,A,26,26,정보통신업
케이티하이텔,A,40.6,40.6,정보통신업
케이프,A,34.2,34.2,제조업
케이피에스,A,48.9,48.9,제조업
케이피에프,A,30.4,30.4,제조업
케이피엑스라이프사이언스,A,35.2,35.2,제조업
케이피엠테크,A,51.3,51.3,제조업
케이피지엠,A,50.2,50.2,"예술, 스포츠 및 여가관련 서비스업"
케이피티유,A,59.7,59.7,제조업
켐온,A,28.2,28.2,"전문, 과학 및 기술 서비스업"
켐트로닉스,A,28.2,28.2,제조업
켐트로스,A,36.9,36.9,제조업
켐포트,A,22.2,22.2,제조업
코나아이,A,13.2,13.2,정보통신업
코닉글로리,A,24,24,정보통신업
코다코,A,10.3,10.3,제조업
코데즈컴바인,A,60,64.5,제조업
코디,A,52.4,52.4,제조업
코디엠,A,19.3,19.3,제조업
코레이트자산운용,A,40.9,40.9,금융 및 보험업
코렌텍,A,21.5,21.5,제조업
코리아2000,A,35.9,35.9,건설업
코리아나화장품,A,33.5,33.5,제조업
디와이,A,-4.2,-4.2,금융 및 보험업
코리아써키트,A,20.5,20.5,제조업
코리아에셋매니지먼트,A,5.8,5.8,부동산업
서연이화,A,-4.2,-4.2,제조업
코리아에프티,A,22.9,22.9,제조업
코리아오토글라스,A,33.1,33.1,제조업
코리아코스팩,A,37.2,37.2,제조업
코리안리재보험,A,31.2,31.2,금융 및 보험업
코맥스,A,20.5,20.5,제조업
코메론,A,20.1,20.1,제조업
코미코,A,8,8,제조업
코센,A,52,52,제조업
코셋,A,45.4,45.4,제조업
코스맥스,A,22,22,제조업
코스맥스비티아이,A,49.1,49.1,금융 및 보험업
코스메랩,A,24.4,24.4,제조업
코스메카코리아,A,22.3,22.3,제조업
코스모신소재,A,28.3,28.3,제조업
코스모화학,A,60,62.7,제조업
코스온,A,29.2,29.2,제조업
코아스,A,28.4,28.4,제조업
코아스템,A,34.4,34.4,제조업
코아시아홀딩스,A,37.9,37.9,"전문, 과학 및 기술 서비스업"
코엔텍,A,47.4,47.4,"수도, 하수 및 폐기물 처리, 원료 재생업"
코오롱,A,32.5,32.5,금융 및 보험업
코오롱글로벌,A,52.9,52.9,건설업
코오롱글로텍,A,24.1,24.1,도매 및 소매업
코오롱생명과학,A,22.3,22.3,제조업
코오롱인더스트리,A,26.2,26.2,제조업
코오롱티슈진,A,47,47,제조업
코오롱패션머티리얼,A,37.6,37.6,제조업
코오롱플라스틱,A,32.8,32.8,제조업
코웨이,A,26,26,"협회 및 단체, 수리 및 기타 개인 서비스업"
코웰패션,A,23.2,23.2,제조업
코위버,A,48.2,48.2,제조업
코이즈,A,5.3,5.3,제조업
코캄,A,26.8,26.8,제조업
코콤,A,48.9,48.9,제조업
코텍,A,41.4,41.4,제조업
하이즈항공,A,-3.7,-3.7,제조업
콜마비앤에이치,A,30,30,제조업
콜마파마,A,25.5,25.5,제조업
콤텍시스템,A,30.1,30.1,정보통신업
쿠첸,A,32,32,제조업
쿠쿠홀딩스,A,56.4,56.4,제조업
퀀텀에너지,A,27.8,27.8,제조업
큐렉소,A,15.2,15.2,도매 및 소매업
큐로컴,A,58,58,정보통신업
큐로홀딩스,A,19,19,도매 및 소매업
큐리언트,A,1,1,"전문, 과학 및 기술 서비스업"
큐브엔터테인먼트,A,10.7,10.7,정보통신업
큐에스아이,A,42.2,42.2,제조업
큐엠씨,A,45.7,45.7,제조업
큐캐피탈파트너스,A,53.6,53.6,금융 및 보험업
크라운제과,A,8.9,8.9,제조업
크라운해태홀딩스,A,20.5,20.5,금융 및 보험업
크레아플래닛,A,34.6,34.6,제조업
엘앤에프,A,-3.5,-3.5,제조업
크로바하이텍,A,34.1,34.1,제조업
크루셜텍,A,30.8,30.8,제조업
크리스탈지노믹스,A,27.2,27.2,"전문, 과학 및 기술 서비스업"
크린앤사이언스,A,46.8,46.8,제조업
클래시스,A,27.1,27.1,제조업
클리오,A,23.6,23.6,제조업
키다리스튜디오,A,36.9,36.9,정보통신업
키움증권,A,39.7,39.7,금융 및 보험업
곰앤컴퍼니,A,-3,-3,정보통신업
타이거일렉,A,0.1,0.1,제조업
탈모닷컴,A,0.5,0.5,제조업
탑엔지니어링,A,35.4,35.4,제조업
태경산업,A,43.2,43.2,제조업
태경피엔에스,A,60,66.7,제조업
태경화학,A,20.1,20.1,제조업
태광,A,29.2,29.2,제조업
태광산업,A,49.3,49.3,제조업
태광실업,A,31.8,31.8,제조업
태림페이퍼,A,29.3,29.3,제조업
태림포장,A,18.4,18.4,제조업
태양,A,32.6,32.6,제조업
태양금속공업,A,22.2,22.2,제조업
태양기계,A,14.7,14.7,제조업
태양씨앤엘,A,56.9,56.9,제조업
태영건설,A,60,61.5,건설업
태웅,A,42.3,42.3,제조업
태원물산,A,16.2,16.2,제조업
태진인포텍,A,29.5,29.5,정보통신업
태평양물산,A,34.8,34.8,제조업
테고사이언스,A,15.4,15.4,제조업
엔케이,A,-2.8,-2.8,제조업
테라세미콘,A,49.3,49.3,제조업
테라셈,A,18.2,18.2,제조업
테라젠이텍스,A,42.5,42.5,제조업
테스,A,43.5,43.5,제조업
